"file","sockets","room_size","handshake_pct","ws_errors","conn_p95_ms","e2e_p50_ms","e2e_p95_ms","sent_per_s","recv_per_s","complete_pct"
"tput_si20","10000","10","100","13","3","868","1613","227.3","2264.6","99.6"
"tput_si15","10000","10","100","15","3","773","1410","316.8","3134.4","98.9"
"tput_si10","10000","10","100","11","5","761","1416","499.4","4978.5","99.7"
"tput_si9","10000","10","100","29","8","734","1580","559.4","5573","99.6"
"tput_si8","10000","10","100","7","12","698","1617","636.2","6345.9","99.8"
"tput_si7","10000","10","100","14","20","737","1526","730.7","7279.6","99.6"
"tput_si6","10000","10","100","14","14","748","1456","861.6","8536.8","99.1"
"tput_si4","10000","10","100","36","25","1484","25973","1300.8","9100","70"
"tput_si3p5","10000","10","100","16","12","5812","62863","1511.8","6370.5","42.1"
"tput_si3","10000","10","100","24","11","0","0","1745.5","0","0"
"tput_si2p5","10000","10","100","23","5","0","0","2121.7","0","0"
